poet_name,poetid,birth_city_name,birth_cityid,,other_city_name,other_cityid,,cartodb_id,created_at,updated_at,longitude_0,latitude_0,geojson
Licymnius,3,Chios,6,"<li type=""birth_city"" data=""6"">Chios</li>",Athens,2,"<li type=""other_city"" data=""2"">Athens</li>",7,40:35.1,40:35.3,26.053,38.414,"{""type"":""MultiLineString"",""coordinates"":[[[23.72646,37.97169],[26.053,38.414]]]}"
Philoxenus of Cythera,24,Cythera,35,"<li type=""birth_city"" data=""35"">Cythera</li>",Athens,2,"<li type=""other_city"" data=""2"">Athens</li>",22,40:35.1,40:35.3,23,36.1667,"{""type"":""MultiLineString"",""coordinates"":[[[23.72646,37.97169],[23,36.1667]]]}"
Kydides,47,Hermione,31,"<li type=""birth_city"" data=""31"">Hermione</li>",Athens,2,"<li type=""other_city"" data=""2"">Athens</li>",30,40:35.1,40:35.3,23.726464,37.971687,"{""type"":""MultiLineString"",""coordinates"":[[[23.72646,37.97169],[23.24359,37.38522]]]}"
Melanippides,1,Melos,1,"<li type=""birth_city"" data=""1"">Melos</li>",Athens,2,"<li type=""other_city"" data=""2"">Athens</li>",2,40:35.1,40:35.3,23.726464,37.971687,"{""type"":""MultiLineString"",""coordinates"":[[[23.72646,37.97169],[24.41667,36.68333]]]}"
Timotheus,6,Miletus,9,"<li type=""birth_city"" data=""9"">Miletus</li>",Athens,2,"<li type=""other_city"" data=""2"">Athens</li>",10,40:35.1,40:35.3,23.726464,37.971687,"{""type"":""MultiLineString"",""coordinates"":[[[23.72646,37.97169],[27.27749,37.52924]]]}"
Phrynis,5,Mytilene,8,"<li type=""birth_city"" data=""8"">Mytilene</li>",Athens,2,"<li type=""other_city"" data=""2"">Athens</li>",8,40:35.1,40:35.3,23.726464,37.971687,"{""type"":""MultiLineString"",""coordinates"":[[[23.72646,37.97169],[26.54705,39.11048]]]}"
Telestes,7,Selinus,12,"<li type=""birth_city"" data=""12"">Selinus</li>",Athens,2,"<li type=""other_city"" data=""2"">Athens</li>",13,40:35.1,40:35.3,12.82512,37.582841,"{""type"":""MultiLineString"",""coordinates"":[[[23.72646,37.97169],[12.82512,37.58284]]]}"
Polyidus,26,Selymbria,22,"<li type=""birth_city"" data=""22"">Selymbria</li>",Athens,2,"<li type=""other_city"" data=""2"">Athens</li>",26,40:35.1,40:35.3,28.247677,41.078496,"{""type"":""MultiLineString"",""coordinates"":[[[23.72646,37.97169],[28.24768,41.0785]]]}"
Ariphon,23,Sicyon,13,"<li type=""birth_city"" data=""13"">Sicyon</li>",Athens,2,"<li type=""other_city"" data=""2"">Athens</li>",20,40:35.1,40:35.3,23.726464,37.971687,"{""type"":""MultiLineString"",""coordinates"":[[[23.72646,37.97169],[22.71106,37.98412]]]}"
Pronomus,2,Thebes,3,"<li type=""birth_city"" data=""3"">Thebes</li>",Athens,2,"<li type=""other_city"" data=""2"">Athens</li>",5,40:35.1,40:35.3,23.726464,37.971687,"{""type"":""MultiLineString"",""coordinates"":[[[23.72646,37.97169],[23.3178,38.31908]]]}"
Khairis,51,Thebes,3,"<li type=""birth_city"" data=""3"">Thebes</li>",Athens,2,"<li type=""other_city"" data=""2"">Athens</li>",32,40:35.1,40:35.3,23.726464,37.971687,"{""type"":""MultiLineString"",""coordinates"":[[[23.72646,37.97169],[23.3178,38.31908]]]}"
Pronomus,2,Thebes,3,"<li type=""birth_city"" data=""3"">Thebes</li>",Chalcis,4,"<li type=""other_city"" data=""4"">Chalcis</li>",3,40:35.1,40:35.3,23.317799,38.319076,"{""type"":""MultiLineString"",""coordinates"":[[[23.62194,38.45714],[23.3178,38.31908]]]}"
Philoxenus of Cythera,24,Cythera,35,"<li type=""birth_city"" data=""35"">Cythera</li>",Colophon,20,"<li type=""other_city"" data=""20"">Colophon</li>",25,40:35.1,40:35.3,23,36.1667,"{""type"":""MultiLineString"",""coordinates"":[[[27.14711,38.10963],[23,36.1667]]]}"
#NAME?,18,Athens,2,"<li type=""birth_city"" data=""2"">Athens</li>",Delos,5,"<li type=""other_city"" data=""5"">Delos</li>",18,40:35.1,40:35.3,23.726464,37.971687,"{""type"":""MultiLineString"",""coordinates"":[[[25.26819,37.39727],[23.72646,37.97169]]]}"
Pronomus,2,Thebes,3,"<li type=""birth_city"" data=""3"">Thebes</li>",Delos,5,"<li type=""other_city"" data=""5"">Delos</li>",4,40:35.1,40:35.3,25.268194,37.397274,"{""type"":""MultiLineString"",""coordinates"":[[[25.26819,37.39727],[23.3178,38.31908]]]}"
Eumelos,44,Elis,32,"<li type=""birth_city"" data=""32"">Elis</li>",Delphi,30,"<li type=""other_city"" data=""30"">Delphi</li>",28,40:35.1,40:35.3,22.501169,38.482289,"{""type"":""MultiLineString"",""coordinates"":[[[22.50117,38.48229],[21.37509,37.89178]]]}"
Euangelos,43,Tarentum,19,"<li type=""birth_city"" data=""19"">Tarentum</li>",Delphi,30,"<li type=""other_city"" data=""30"">Delphi</li>",27,40:35.1,40:35.3,17.228553,40.476034,"{""type"":""MultiLineString"",""coordinates"":[[[22.50117,38.48229],[17.22855,40.47603]]]}"
Thespis,45,Thebes,3,"<li type=""birth_city"" data=""3"">Thebes</li>",Delphi,30,"<li type=""other_city"" data=""30"">Delphi</li>",29,40:35.1,40:35.3,22.501169,38.482289,"{""type"":""MultiLineString"",""coordinates"":[[[22.50117,38.48229],[23.3178,38.31908]]]}"
Khairis,51,Thebes,3,"<li type=""birth_city"" data=""3"">Thebes</li>",Delphi,30,"<li type=""other_city"" data=""30"">Delphi</li>",31,40:35.1,40:35.3,22.501169,38.482289,"{""type"":""MultiLineString"",""coordinates"":[[[22.50117,38.48229],[23.3178,38.31908]]]}"
Philoxenus of Cythera,24,Cythera,35,"<li type=""birth_city"" data=""35"">Cythera</li>",Ephesus,11,"<li type=""other_city"" data=""11"">Ephesus</li>",21,40:35.1,40:35.3,23,36.1667,"{""type"":""MultiLineString"",""coordinates"":[[[27.33972,37.94194],[23,36.1667]]]}"
Timotheus,6,Miletus,9,"<li type=""birth_city"" data=""9"">Miletus</li>",Ephesus,11,"<li type=""other_city"" data=""11"">Ephesus</li>",12,40:35.1,40:35.3,27.2774885,37.5292362,"{""type"":""MultiLineString"",""coordinates"":[[[27.33972,37.94194],[27.27749,37.52924]]]}"
Bakkhiadas,11,Sicyon,13,"<li type=""birth_city"" data=""13"">Sicyon</li>",Helicon,16,"<li type=""other_city"" data=""16"">Helicon</li>",17,40:35.1,40:35.3,22.711059,37.984123,"{""type"":""MultiLineString"",""coordinates"":[[[22.8225,38.35278],[22.71106,37.98412]]]}"
Licymnius,3,Chios,6,"<li type=""birth_city"" data=""6"">Chios</li>",Leontini,7,"<li type=""other_city"" data=""7"">Leontini</li>",6,40:35.1,40:35.3,26.053,38.414,"{""type"":""MultiLineString"",""coordinates"":[[[14.99812,37.28548],[26.053,38.414]]]}"
Telestes,7,Selinus,12,"<li type=""birth_city"" data=""12"">Selinus</li>",Locri,14,"<li type=""other_city"" data=""14"">Locri</li>",15,40:35.1,40:35.3,16.228784,38.216171,"{""type"":""MultiLineString"",""coordinates"":[[[16.22878,38.21617],[12.82512,37.58284]]]}"
Melanippides,1,Melos,1,"<li type=""birth_city"" data=""1"">Melos</li>",Macedonia,33,"<li type=""other_city"" data=""33"">Macedonia</li>",1,40:35.1,40:35.3,24.416667,36.683333,"{""type"":""MultiLineString"",""coordinates"":[[[22.51848,40.75456],[24.41667,36.68333]]]}"
Timotheus,6,Miletus,9,"<li type=""birth_city"" data=""9"">Miletus</li>",Macedonia,33,"<li type=""other_city"" data=""33"">Macedonia</li>",9,40:35.1,40:35.3,27.2774885,37.5292362,"{""type"":""MultiLineString"",""coordinates"":[[[22.51848,40.75456],[27.27749,37.52924]]]}"
Krateuas,20,Thessaly,34,"<li type=""birth_city"" data=""34"">Thessaly</li>",Macedonia,33,"<li type=""other_city"" data=""33"">Macedonia</li>",19,40:35.1,40:35.3,22.518485,40.754555,"{""type"":""MultiLineString"",""coordinates"":[[[22.51848,40.75456],[22.2,39.6]]]}"
Telestes,7,Selinus,12,"<li type=""birth_city"" data=""12"">Selinus</li>",Rhegium,15,"<li type=""other_city"" data=""15"">Rhegium</li>",16,40:35.1,40:35.3,15.64393,38.109279,"{""type"":""MultiLineString"",""coordinates"":[[[15.64393,38.10928],[12.82512,37.58284]]]}"
Telestes,7,Selinus,12,"<li type=""birth_city"" data=""12"">Selinus</li>",Sicyon,13,"<li type=""other_city"" data=""13"">Sicyon</li>",14,40:35.1,40:35.3,12.82512,37.582841,"{""type"":""MultiLineString"",""coordinates"":[[[22.71106,37.98412],[12.82512,37.58284]]]}"
Timotheus,6,Miletus,9,"<li type=""birth_city"" data=""9"">Miletus</li>",Sparta,10,"<li type=""other_city"" data=""10"">Sparta</li>",11,40:35.1,40:35.3,22.42366,37.082132,"{""type"":""MultiLineString"",""coordinates"":[[[22.42366,37.08213],[27.27749,37.52924]]]}"
Philoxenus of Cythera,24,Cythera,35,"<li type=""birth_city"" data=""35"">Cythera</li>",Syracuse,18,"<li type=""other_city"" data=""18"">Syracuse</li>",23,40:35.1,40:35.3,15.292995,37.063921,"{""type"":""MultiLineString"",""coordinates"":[[[15.29299,37.06392],[23,36.1667]]]}"
Philoxenus of Cythera,24,Cythera,35,"<li type=""birth_city"" data=""35"">Cythera</li>",Tarentum,19,"<li type=""other_city"" data=""19"">Tarentum</li>",24,40:35.1,40:35.3,23,36.1667,"{""type"":""MultiLineString"",""coordinates"":[[[17.22855,40.47603],[23,36.1667]]]}"
